"","studyid","region","RR","RR.CI1","RR.CI2","est","se","N","sparseN","W","pooled","Nstudies","method","X","Y","adj","agecat","sex","analysis","df","logHR.psi","logSE","HR.CI1","HR.CI2","severe"
"102","pooled",NA,2.5855619491231,1.96754891479632,3.39769473708116,0.949942872777152,0.139364444071901,NA,NA,NA,1,5,"FE","underwt","dead",0,"overall",NA,"No overlap",NA,NA,NA,NA,NA,0
"103","pooled","Africa",3.19227886876563,2.15418597679425,4.73062422917299,1.16073504067298,0.200674553808309,NA,NA,NA,1,3,"RE","underwt","dead",0,"overall",NA,"No overlap",NA,NA,NA,NA,NA,0
"104","pooled","South Asia",2.12455571833619,1.45342736146114,3.105581413974,0.753562706793274,0.193692980581737,NA,NA,NA,1,2,"RE","underwt","dead",0,"overall",NA,"No overlap",NA,NA,NA,NA,NA,0
"105","Burkina Faso Zn","Africa",2.02490248873573,0.912789583772762,4.49197729879978,0.705521545688323,0.417976529403309,5242,9,"",0,NA,NA,"stunt_uwt","dead",0,"overall",NA,"No overlap",NA,NA,NA,NA,NA,0
"106","iLiNS-DOSE","Africa",5.46094731347289,0.91733793499921,32.5092252513818,1.69762227534338,0.912882098686715,768,2,"",0,NA,NA,"stunt_uwt","dead",0,"overall",NA,"No overlap",NA,NA,NA,NA,NA,0
"107","iLiNS-DYAD-M","Africa",1.12001406632687e-08,4.45292985125069e-09,2.81709245524657e-08,-18.3073394995038,9372.2714200855,734,1,"",0,NA,NA,"stunt_uwt","dead",0,"overall",NA,"No overlap",NA,NA,NA,NA,NA,0
"108","JiVitA-3","South Asia",1.99509245650624,1.57525073860714,2.52683195916331,0.690690393381377,0.11513226888823,18704,141,"",0,NA,NA,"stunt_uwt","dead",0,"overall",NA,"No overlap",NA,NA,NA,NA,NA,0
"109","JiVitA-4","South Asia",2.24005721054336,1.10918046114466,4.52393139104608,0.806501405961939,0.3596108767876,3556,15,"",0,NA,NA,"stunt_uwt","dead",0,"overall",NA,"No overlap",NA,NA,NA,NA,NA,0
"110","Keneba","Africa",1.02770948987515,0.448541673855768,2.3547127438577,0.0273325296970898,0.444729528552722,2072,7,"",0,NA,NA,"stunt_uwt","dead",0,"overall",NA,"No overlap",NA,NA,NA,NA,NA,0
"111","VITAMIN-A","South Asia",1.22257050311604,0.388439835718625,3.84790255181786,0.200955611964532,0.585550405256136,2349,5,"",0,NA,NA,"stunt_uwt","dead",0,"overall",NA,"No overlap",NA,NA,NA,NA,NA,0
"112","ZVITAMBO","Africa",1.78969152021896,1.39318673336522,2.29904266300819,0.582043269928064,0.123490184934057,7258,94,"",0,NA,NA,"stunt_uwt","dead",0,"overall",NA,"No overlap",NA,NA,NA,NA,NA,0
"113","pooled",NA,1.88006261776045,1.61298663809886,2.19136064937672,0.631305083606572,0.0781722287650439,NA,NA,NA,1,7,"RE","stunt_uwt","dead",0,"overall",NA,"No overlap",NA,NA,NA,NA,NA,0
